Task Name,Status,Priority,Assignee,Due Date,Description,Tags
[ACC][I-5] Install Python agents CrewAI and Aider,Open,High,Shayan,2026-05-27,"Run: pip install crewai crewai-tools python-dotenv && pip install aider-install && aider-install. Test CrewAI: 'crew: research top 5 AI productivity tools 2026'. Test Aider: 'aider: add /api/ping to cloud/server.js returning {pong:true}'. | Verify: CrewAI runs 3-agent pipeline. Aider makes code change and commits.",ACC v2,P1,Shayan
[ACC][I-6] Verify Hunter.io + Resend pipeline end-to-end,Open,High,Shayan,2026-05-28,"Test Hunter: 'hunter: search emails at stripe.com' → real emails. Test Resend: 'email: send email to YOUR_EMAIL subject: ACC test body: Working' → approve in /approvals → email arrives. Then wire outreachPipeline.js to chain them. | Verify: Full pipeline on 1 lead",ACC v2,P1,Claude
[ACC][I-7] Test and verify Tavily research,Open,Normal,Shayan,2026-05-28,"Test: 'research: best offerwall providers for Canadian rewards apps 2026'. Should return real web results with URLs not just AI knowledge. | Verify: Response includes source URLs and citations",ACC v2,P1,Auto
[ACC][I-8] Set up Sentry error monitoring,Open,High,Shayan,2026-05-28,"1. sentry.io → New Project → Node.js → get DSN 2. npm install @sentry/node 3. Add SENTRY_DSN to .env 4. Add Sentry.init() to cloud/server.js 5. Add request and error handlers. | Verify: Trigger error → appears in Sentry within 30 seconds",ACC v2,P1,Aider
[ACC][I-9] Set up Langfuse LLM observability,Open,Normal,Shayan,2026-05-30,"1. cloud.langfuse.com → New Project → get keys 2. npm install langfuse 3. Add LANGFUSE_PUBLIC_KEY LANGFUSE_SECRET_KEY to .env 4. Wrap DeepSeek calls in providerFallback.js with Langfuse trace. | Verify: Dashboard shows each DeepSeek call with tokens and cost",ACC v2,P2,Aider
[ACC][I-10] Connect Meta/Instagram tokens,Open,Normal,Shayan,2026-05-30,"1. developers.facebook.com → Create App → Business 2. Add Instagram Basic Display 3. Generate Page Access Token with instagram_basic + pages_manage_posts 4. Add META_ACCESS_TOKEN META_PAGE_ID INSTAGRAM_BUSINESS_ACCOUNT_ID to .env 5. Test: 'instagram: post about AI productivity' | Verify: Post appears on Instagram",ACC v2,P2,Shayan
[ACC][B-1] Fix all bot menu callbacks,Open,Urgent,Shayan,2026-05-26,"File: cloud/telegram/bot.js | Audit every callback_data handler in handleCallback(). List all callback values from menu builders. For each: verify handler executes correctly. Fix any calling /api/execute → replace with Task Bus call. Test every button in Telegram manually. Affected: Chef AI marketplace translate legal assistant data analysis. | Verify: Every button gets real response",ACC v2,P0,Aider
[ACC][B-2] Make bot answers concise,Open,High,Shayan,2026-05-26,"File: cloud/taskbus/telegramCommands.js | In executeAndReply() add system context: 'Respond in 3-5 bullet points max. Be direct and practical. No preamble. Mobile format.' Add truncation: if output > 3000 chars send 2800 + ... | Verify: Ask 'what is blockchain?' → response under 150 words",ACC v2,P1,Claude
[ACC][B-3] Fix daily briefing with real data,Open,High,Shayan,2026-05-27,"File: cloud/telegram/features/scheduler.js | Import store. Get today completed tasks. Get user note count from data/storage/. Add real Toronto weather via wttr.in API. Use day-of-week for 7 rotating tips. | Verify: Briefing shows real task count. Weather is real. Tip changes daily.",ACC v2,P1,Aider
[ACC][B-4] Add /status command,Open,Normal,Shayan,2026-05-28,"Add /status command to bot that returns real system status: server uptime DeepSeek status Tavily status image gen status tasks today Railway status. Read from /admin/system + integration status. | Verify: /status returns real system info in under 3 seconds",ACC v2,P1,Aider
[ACC][B-5] Add /help command,Open,Normal,Shayan,2026-05-28,"Add /help command showing all major bot commands with examples: task: research: job search: image: hunter: /menu /status /approvals /latesttask. Friendly format for new users. | Verify: /help works and explains the system clearly",ACC v2,P1,Claude
[ACC][B-6] Implement real job application flow,Open,High,Shayan,2026-05-30,"Requires I-4 (Playwright). After job search returns results user taps Apply → bot asks confirmation → Playwright fills Indeed/LinkedIn Quick Apply → result logged to data/job-applications.json → user gets confirmation. | Verify: Real application submitted to test posting. Logged in tracker.",ACC v2,P2,OpenHands
[ACC][B-7] Implement resume management,Open,Normal,Shayan,2026-05-30,"User uploads PDF → stored in data/users/{uid}/resume.pdf. 'task: tailor my resume for [job]' → DeepSeek rewrites. 'task: ATS check my resume for [title]' → DeepSeek scores. Store multiple versions. | Verify: Upload → tailor → ATS score → download tailored version",ACC v2,P2,OpenHands
[ACC][UI-1] Fix hardcoded dashboard data,Open,Urgent,Shayan,2026-05-26,"File: ui/src/App.jsx | Agents page: every agent shows 'Active' — must fetch /api/taskbus/integrations/status and show real enabled/disabled. Settings page: 5 hardcoded key names — show real status from /admin/system. | Verify: Kill Alibaba connector → dashboard shows it inactive immediately",ACC v2,P0,OpenHands
[ACC][UI-2] Wire approval buttons in dashboard,Open,Urgent,Shayan,2026-05-26,"File: ui/src/App.jsx renderApprovals() | Buttons show text commands only — no onClick. Add: onClick={async () => { await fetch('/api/taskbus/task/'+id+'/approve' {method:'POST'}); fetchAll(); }} Add simple admin key input stored in localStorage. | Verify: Click Approve → task approved → disappears from list",ACC v2,P0,OpenHands
[ACC][UI-3] Add task detail view to dashboard,Open,High,Shayan,2026-05-27,"Click any task row → expandable panel showing: full instruction AI provider used full output created timestamp copy output button. | Verify: Click task → full DeepSeek response visible inline",ACC v2,P1,OpenHands
[ACC][UI-4] Add quick task input to dashboard,Open,High,Shayan,2026-05-27,"Add to dashboard header: agent picker dropdown + text input + Run button. On submit: POST to /api/taskbus/task → task appears in live feed. | Verify: Type task in dashboard → appears in task list → result shown when done",ACC v2,P1,OpenHands
[ACC][UI-5] Add voice input to dashboard,Open,Normal,Shayan,2026-05-28,"VoiceInput.jsx exists but not imported into App.jsx. Add microphone button to header. On record: sends to POST /api/voice/transcribe. Shows transcript preview + routes to Task Bus. Requires C-4 first. | Verify: Click mic → speak → task created",ACC v2,P1,OpenHands
[ACC][UI-6] Fix integrations page with real data,Open,High,Shayan,2026-05-27,"Fix /api/taskbus/integrations/status to call enabled() on each connector. Show: name status (connected/key_missing/not_installed) last used timestamp. Currently always returns degraded. | Verify: Integrations page shows accurate real-time status of all 20 integrations",ACC v2,P1,Aider
[ACC][UI-7] Add outreach CRM view to dashboard,Open,Normal,Shayan,2026-05-30,"Add Outreach tab: Connect Google Sheet button → paste sheet URL. Lead count from last bootstrap. Pipeline status per lead. Run pipeline button. | Verify: Paste sheet URL → bootstrap runs → leads visible → pipeline executes",ACC v2,P2,OpenHands
[ACC][BK-1] Add unit tests,Open,High,Shayan,2026-05-30,"npm install --save-dev jest. Add 'test': 'jest' to package.json. Write: router.test.js store.test.js bot.test.js tavily.test.js jobSearch.test.js. Target: 10 tests all passing covering critical path. | Verify: npm test → all pass",ACC v2,P1,Claude
[ACC][BK-2] Add graceful shutdown handlers,Open,High,Shayan,2026-05-28,"File: scripts/start.js | Add SIGTERM and SIGINT handlers. On shutdown: flush pending tasks to Supabase. Close websocket. server.close(() => process.exit(0)). | Verify: pm2 stop acc-server → state saved → pm2 start → tasks still there",ACC v2,P1,Aider
[ACC][BK-3] Fix parallel workflow engine,Open,High,Shayan,2026-05-30,"File: cloud/orchestrator/parallelWorkflow.js | executeBranch(): after routeTask() poll getLatestResult() until populated (max 30s). Fix mergeOutputs() to concatenate non-empty results. Fix sendUpdate() truncate to 800 chars. Add test mode: 'test workflow: write 2 sentences about AI'. | Verify: Send 'goal: write guide to job hunting' → 3+ agents parallel → merged result",ACC v2,P1,OpenHands
[ACC][BK-4] Add rate limiting to all routes,Open,Normal,Shayan,2026-05-30,"express-rate-limit is in package.json but only on some routes. Add to: /api/taskbus/task (30/user/hour) /api/voice/transcribe (10/IP/hour) /admin/* (100/IP/hour). | Verify: 31st task from same user in one hour → 429 response",ACC v2,P2,Aider
[ACC][BK-5] Standardize API error handling,Open,Normal,Shayan,2026-05-28,"Create cloud/utils/apiResponse.js with ok() err() serverErr() helpers. Apply to all routes. Wrap all handlers in try/catch with serverErr(). | Verify: Break route intentionally → returns clean JSON error not HTML stack trace",ACC v2,P1,Aider
[ACC][M-1] Web authentication for dashboard,Open,High,Shayan,2026-06-01,"Add login page to React dashboard: ui/src/pages/Login.jsx. Backend: POST /api/auth/login → returns JWT. Store in localStorage. All dashboard calls include Authorization header. Backend verifies JWT. Default: admin / ACC_ADMIN_PASSWORD env var. | Verify: Navigate to dashboard → redirected to login → credentials → dashboard",ACC v2,P2,OpenHands
[ACC][M-2] Multi-tenant workspace support,Open,Normal,Shayan,2026-06-07,"Add workspace_id to every task result and user record. API routes filter by workspace_id from JWT. Each workspace has own API keys own task history own integrations. Admin: create workspace invite users. | Verify: 2 workspaces → tasks in A not visible in B",ACC v2,P3,OpenHands
[ACC][M-3] API key system for clients,Open,Normal,Shayan,2026-06-07,"Generate API keys per workspace: acc_live_xxxx. Clients call /api/taskbus/task with Authorization: Bearer acc_live_xxx. Rate limits per key. Key management UI in dashboard. | Verify: Generated key in curl → task created in correct workspace",ACC v2,P3,OpenHands
[ACC][CO-1] Stripe billing integration,Open,High,Shayan,2026-06-07,"npm install stripe. Create products: Free (5 tasks/day) Pro $29/mo (500 tasks/day) Business $99/mo (unlimited). POST /api/billing/subscribe. Billing page in dashboard. Webhook: /api/billing/webhook → update workspace limits. Add STRIPE_SECRET_KEY STRIPE_WEBHOOK_SECRET. | Verify: Click upgrade → Stripe checkout → workspace upgraded",ACC v2,P3,OpenHands
[ACC][CO-2] Usage limits and enforcement,Open,Normal,Shayan,2026-06-07,"Track tasks per workspace per day in Supabase. Before routing: check workspace within plan limits. If over: return 429 with upgrade prompt. Show usage in dashboard: '47/500 tasks today'. | Verify: Free workspace hits 5 tasks → 6th rejected with upgrade prompt",ACC v2,P3,Aider
[ACC][CO-3] Landing page and marketing site,Open,Normal,Shayan,2026-06-14,"Create ui/src/pages/Landing.jsx: hero section demo video pricing table feature list CTA to signup. Set up custom domain acc.app. | Verify: Landing page loads fast converts visitors",ACC v2,P3,OpenHands
[ACC][CO-4] New user onboarding flow,Open,Normal,Shayan,2026-06-14,"After signup: welcome message from bot. Walk through first task. Show 5 most useful commands. Connect first integration. First task completion unlocks streak gamification. | Verify: New user completes onboarding in under 5 min without docs",ACC v2,P3,Claude
[ACC][CO-5] Public documentation site,Open,Normal,Shayan,2026-06-14,"Set up docs at docs.acc.app using Mintlify or Docusaurus (free). Pages: Getting Started All Bot Commands Agent Guide Integration Setup API Reference Security & Privacy. | Verify: External developer sets up ACC from docs alone",ACC v2,P3,Shayan
